outcome,threshold,coef,se,p,pct,n
total,hot30,0.021501413167417494,0.007745661056313586,0.005504405217795274,2.1734234217891,5113.0
total,hot32,0.029713228746202497,0.01082101151872056,0.006034832924020463,3.0159071581915997,5113.0
total,hot35,0.027871505251805984,0.015037439776351974,0.06381443416626295,2.826354946641718,5113.0
violent,hot30,0.06554312909149511,0.00756833143878685,4.7101086999807906e-18,6.773878692428603,5113.0
violent,hot32,0.07317124705304148,0.012944381702021146,1.5790845947568296e-08,7.591476837311384,5113.0
violent,hot35,0.0746268900700035,0.015366372380692038,1.1947475449852559e-06,7.748205662189633,5113.0
violent_ucr,hot30,0.05392721390551657,0.012721665049904804,2.2451170354083452e-05,5.540778034891525,5113.0
violent_ucr,hot32,0.05286580097849568,0.021614372830209873,0.014450578384785404,5.4288151187121825,5113.0
violent_ucr,hot35,0.04022929885734844,0.02425277510281294,0.09716611167592797,4.104945827757467,5113.0
property,hot30,-0.004822119066907521,0.006734090068178409,0.4739445334113527,-0.4810511316240218,5113.0
property,hot32,0.0011176776974231306,0.008297561817811652,0.8928494428637312,0.11183025319070339,5113.0
property,hot35,-0.006480505183434737,0.01413181623843948,0.6465390089666094,-0.6459551996563562,5113.0
